datetime,portfolio_value,cash,return
2024-01-02 09:30:00-05:00,100000.0,100000.0,
2024-01-03 09:30:00-05:00,99816.61883544922,49951.039611816406,-0.0018338116455077769
2024-01-04 09:30:00-05:00,99590.8383178711,49951.039611816406,-0.002261953171849407
2024-01-05 09:30:00-05:00,99504.97857666016,49951.039611816406,-0.0008621248968393447
2024-01-06 09:30:00-05:00,99504.97857666016,49951.039611816406,0.0
2024-01-08 09:30:00-05:00,99604.61883544922,49951.039611816406,0.001001359532099233
2024-01-09 09:30:00-05:00,99422.29870605469,124431.40844726562,-0.0018304385030148973
2024-01-10 09:30:00-05:00,99300.92825317383,124431.40844726562,-0.001220756856967209
2024-01-11 09:30:00-05:00,99119.13864135742,124431.40844726562,-0.0018306939825670776
2024-01-12 09:30:00-05:00,99105.88864135742,124431.40844726562,-0.00013367751356219149
2024-01-13 09:30:00-05:00,99105.88864135742,124431.40844726562,0.0
2024-01-16 09:30:00-05:00,99242.6279296875,124431.40844726562,0.0013797291987855953
2024-01-17 09:30:00-05:00,99875.58837890625,186690.4697265625,0.00637790899357471
2024-01-18 09:30:00-05:00,99039.00744628906,280110.8311767578,-0.008376230330112144
2024-01-19 09:30:00-05:00,100112.80276489258,-40793.94543457031,0.010842145395952851
2024-01-20 09:30:00-05:00,100112.80276489258,-40793.94543457031,0.0
